date,region,product,sales,units
2024-01-01,East,Widget B,3729,28
2024-01-02,North,Widget B,535,24
2024-01-03,West,Widget B,3751,24
2024-01-04,South,Widget B,2151,27
2024-01-05,West,Widget A,2585,25
2024-01-06,West,Widget A,2994,38
2024-01-07,South,Gadget C,1658,23
2024-01-08,West,Widget A,3611,19
2024-01-09,North,Widget B,2064,28
2024-01-10,West,Widget B,2400,13
2024-01-11,North,Widget A,4180,9
2024-01-12,North,Gadget C,1476,7
2024-01-13,South,Widget B,3875,13
2024-01-14,West,Widget A,1231,23
2024-01-15,East,Widget B,3610,3
2024-01-16,West,Widget B,4047,40
2024-01-17,South,Widget B,1900,1
2024-01-18,South,Widget B,623,7
2024-01-19,East,Widget B,3850,43
2024-01-20,North,Widget A,3009,47
2024-01-21,West,Widget B,4746,40
2024-01-22,South,Gadget C,2226,12
2024-01-23,North,Widget B,220,38
2024-01-24,West,Widget A,4421,12
2024-01-25,West,Widget B,4660,24
2024-01-26,South,Widget B,435,46
2024-01-27,West,Widget A,2203,1
2024-01-28,West,Widget A,1547,5
2024-01-29,South,Gadget C,308,2
2024-01-30,North,Widget A,3528,24
2024-01-31,South,Gadget C,4516,24
2024-02-01,East,Widget B,2087,30
2024-02-02,South,Widget A,4679,12
2024-02-03,North,Gadget C,349,31
2024-02-04,North,Widget B,2290,13
2024-02-05,West,Widget B,3915,6
2024-02-06,South,Gadget C,3257,10
2024-02-07,East,Widget B,4010,21
2024-02-08,West,Gadget C,1545,22
2024-02-09,South,Widget A,1246,30
2024-02-10,West,Widget A,4264,39
2024-02-11,South,Widget B,1762,21
2024-02-12,West,Gadget C,2729,27
2024-02-13,North,Widget B,2501,48
2024-02-14,West,Gadget C,2720,42
2024-02-15,West,Widget A,2846,13
2024-02-16,West,Widget B,4569,40
2024-02-17,North,Widget B,2836,6
2024-02-18,South,Gadget C,4179,21
2024-02-19,West,Gadget C,4172,11
2024-02-20,East,Gadget C,2298,3
2024-02-21,North,Gadget C,2362,41
2024-02-22,North,Gadget C,693,36
2024-02-23,North,Widget B,4482,13
2024-02-24,South,Gadget C,4318,16
2024-02-25,South,Widget A,2865,13
2024-02-26,West,Gadget C,333,19
2024-02-27,East,Gadget C,4280,3
2024-02-28,West,Widget B,1793,18
2024-02-29,South,Widget A,1908,41
2024-03-01,South,Widget B,3312,45
2024-03-02,South,Widget B,1172,12
2024-03-03,West,Widget A,1263,6
2024-03-04,East,Widget B,171,41
2024-03-05,North,Widget A,2282,37
2024-03-06,West,Widget A,677,10
2024-03-07,East,Gadget C,2450,22
2024-03-08,East,Gadget C,3305,6
2024-03-09,East,Gadget C,855,28
2024-03-10,South,Gadget C,758,35
2024-03-11,West,Gadget C,3213,23
2024-03-12,South,Widget B,4968,28
2024-03-13,West,Widget B,4021,30
2024-03-14,North,Widget B,2973,1
2024-03-15,South,Gadget C,4317,41
2024-03-16,East,Gadget C,442,27
2024-03-17,East,Widget B,737,41
2024-03-18,East,Widget A,868,44
2024-03-19,West,Widget B,1508,11
2024-03-20,South,Widget B,1439,11
2024-03-21,West,Widget B,2620,32
2024-03-22,East,Widget A,3360,11
2024-03-23,East,Widget A,4195,27
2024-03-24,North,Widget B,1418,27
2024-03-25,South,Gadget C,2286,47
2024-03-26,South,Widget B,2867,36
2024-03-27,East,Gadget C,2941,44
2024-03-28,North,Gadget C,2065,44
2024-03-29,North,Widget A,3295,16
2024-03-30,East,Widget B,1720,21
2024-03-31,South,Widget B,2897,37
2024-04-01,North,Widget B,2654,38
2024-04-02,East,Widget B,1088,47
2024-04-03,North,Gadget C,1468,22
2024-04-04,West,Gadget C,4791,6
2024-04-05,North,Gadget C,2834,23
2024-04-06,North,Widget A,458,48
2024-04-07,East,Widget B,688,18
2024-04-08,East,Widget A,1201,38
2024-04-09,West,Widget B,1598,15
2024-04-10,North,Widget A,2456,20
2024-04-11,South,Widget B,2760,31
2024-04-12,West,Widget A,4149,3
2024-04-13,North,Widget A,903,17
2024-04-14,North,Widget B,2666,9
2024-04-15,West,Widget B,613,49
2024-04-16,East,Widget A,4963,3
2024-04-17,East,Gadget C,3607,36
2024-04-18,South,Widget B,2723,2
2024-04-19,North,Widget A,1060,6
2024-04-20,South,Gadget C,2662,5
2024-04-21,South,Gadget C,2471,20
2024-04-22,South,Widget B,2053,36
2024-04-23,North,Widget A,830,8
2024-04-24,North,Gadget C,2044,17
2024-04-25,South,Widget A,4796,26
2024-04-26,East,Widget B,1905,23
2024-04-27,South,Gadget C,1244,32
2024-04-28,West,Gadget C,980,1
2024-04-29,South,Gadget C,4573,16
2024-04-30,West,Gadget C,151,9
2024-05-01,East,Widget A,2848,41
2024-05-02,West,Widget A,398,48
2024-05-03,East,Widget B,544,28
2024-05-04,East,Widget B,3017,14
2024-05-05,North,Widget B,4989,25
2024-05-06,West,Widget A,813,21
2024-05-07,South,Widget A,1901,22
2024-05-08,West,Widget A,4679,3
2024-05-09,North,Widget A,2284,4
2024-05-10,West,Widget B,3923,21
2024-05-11,South,Gadget C,3099,34
2024-05-12,South,Gadget C,3554,9
2024-05-13,West,Widget A,4560,7
2024-05-14,South,Widget A,4309,16
2024-05-15,West,Widget A,3133,14
2024-05-16,West,Widget B,4168,16
2024-05-17,North,Widget B,1971,27
2024-05-18,North,Widget B,738,17
2024-05-19,East,Widget B,2970,28
2024-05-20,East,Gadget C,2055,26
2024-05-21,South,Gadget C,3489,16
2024-05-22,East,Gadget C,3660,23
2024-05-23,South,Gadget C,4853,49
2024-05-24,West,Widget A,3150,17
2024-05-25,South,Widget A,1798,28
2024-05-26,West,Widget B,3643,22
2024-05-27,North,Gadget C,4768,3
2024-05-28,North,Widget A,1718,45
2024-05-29,South,Widget B,2649,31
2024-05-30,East,Widget B,4358,21
2024-05-31,East,Gadget C,402,5
2024-06-01,South,Widget B,3423,8
2024-06-02,South,Widget A,226,31
2024-06-03,East,Gadget C,877,13
2024-06-04,West,Gadget C,3418,12
2024-06-05,North,Widget B,3833,22
2024-06-06,East,Widget B,1521,7
2024-06-07,North,Gadget C,2875,27
2024-06-08,West,Gadget C,3210,21
2024-06-09,North,Widget A,4168,6
2024-06-10,South,Gadget C,3665,28
2024-06-11,South,Widget B,755,10
2024-06-12,North,Widget B,3315,7
2024-06-13,South,Gadget C,207,15
2024-06-14,North,Widget A,3822,5
2024-06-15,North,Widget A,996,32
2024-06-16,North,Gadget C,3448,44
2024-06-17,East,Widget A,474,3
2024-06-18,South,Gadget C,3160,40
2024-06-19,West,Widget B,2467,40
2024-06-20,North,Widget B,2026,37
2024-06-21,North,Gadget C,123,25
2024-06-22,West,Gadget C,3347,32
2024-06-23,East,Widget B,4311,47
2024-06-24,North,Widget A,180,47
2024-06-25,North,Gadget C,751,28
2024-06-26,North,Widget A,4895,34
2024-06-27,West,Widget A,1604,4
2024-06-28,North,Widget A,1032,34
2024-06-29,East,Gadget C,2096,38
2024-06-30,West,Widget B,940,28
2024-07-01,East,Widget A,2743,46
2024-07-02,South,Widget A,939,31
2024-07-03,West,Widget B,3487,49
2024-07-04,East,Gadget C,485,14
2024-07-05,East,Widget B,1429,25
2024-07-06,North,Widget A,867,7
2024-07-07,West,Widget A,4806,38
2024-07-08,South,Widget A,2240,36
2024-07-09,South,Gadget C,3403,36
2024-07-10,South,Widget B,3333,30
2024-07-11,West,Widget A,3357,44
2024-07-12,West,Gadget C,3301,13
2024-07-13,South,Widget B,2197,38
2024-07-14,North,Widget A,1655,38
2024-07-15,North,Gadget C,2484,6
2024-07-16,North,Gadget C,3830,46
2024-07-17,North,Widget B,163,39
2024-07-18,West,Gadget C,951,18
2024-07-19,North,Gadget C,3777,29
2024-07-20,South,Widget B,3882,47
2024-07-21,East,Gadget C,2549,42
2024-07-22,East,Widget B,1326,31
2024-07-23,North,Gadget C,1659,2
2024-07-24,East,Gadget C,3074,29
2024-07-25,North,Widget A,1833,22
2024-07-26,West,Gadget C,1906,16
2024-07-27,North,Widget A,2762,10
2024-07-28,North,Widget B,4018,6
2024-07-29,East,Widget A,916,39
2024-07-30,South,Gadget C,2550,19
2024-07-31,West,Widget B,3211,47
2024-08-01,South,Gadget C,4107,29
2024-08-02,South,Gadget C,243,17
2024-08-03,East,Widget B,635,6
2024-08-04,North,Widget B,2273,14
2024-08-05,East,Widget A,1808,18
2024-08-06,North,Widget B,3547,30
2024-08-07,West,Widget A,2323,23
2024-08-08,East,Gadget C,3556,18
2024-08-09,East,Widget B,704,1
2024-08-10,South,Gadget C,3304,47
2024-08-11,East,Widget B,3387,47
2024-08-12,North,Widget B,1505,47
2024-08-13,East,Gadget C,695,15
2024-08-14,North,Gadget C,2504,36
2024-08-15,South,Gadget C,3687,29
2024-08-16,North,Widget A,4774,19
2024-08-17,West,Widget A,3941,36
2024-08-18,North,Widget A,2809,13
2024-08-19,North,Widget B,2129,39
2024-08-20,South,Gadget C,4460,27
2024-08-21,West,Gadget C,1717,27
2024-08-22,West,Widget B,2020,11
2024-08-23,East,Widget B,3975,18
2024-08-24,West,Widget A,1275,21
2024-08-25,West,Gadget C,4563,1
2024-08-26,South,Widget A,2233,27
2024-08-27,South,Widget A,1982,4
2024-08-28,South,Gadget C,4604,1
2024-08-29,West,Gadget C,3911,13
2024-08-30,West,Gadget C,321,4
2024-08-31,East,Widget B,2819,16
2024-09-01,East,Widget A,761,44
2024-09-02,South,Gadget C,4366,37
2024-09-03,South,Gadget C,3099,16
2024-09-04,East,Widget A,1452,16
2024-09-05,East,Gadget C,1749,4
2024-09-06,South,Widget A,4175,39
2024-09-07,West,Gadget C,4954,37
2024-09-08,East,Gadget C,874,16
2024-09-09,North,Widget B,3967,20
2024-09-10,West,Widget A,2950,40
2024-09-11,East,Widget A,4064,4
2024-09-12,North,Gadget C,1546,44
2024-09-13,South,Widget B,2035,44
2024-09-14,North,Widget A,3192,17
2024-09-15,West,Widget B,1038,22
2024-09-16,North,Widget A,1643,34
2024-09-17,East,Widget B,2065,30
2024-09-18,North,Gadget C,2038,41
2024-09-19,North,Widget A,4951,21
2024-09-20,North,Widget B,3729,34
2024-09-21,West,Gadget C,4526,2
2024-09-22,East,Widget B,2889,6
2024-09-23,North,Widget B,1123,41
2024-09-24,East,Widget A,4989,18
2024-09-25,South,Widget A,1526,25
2024-09-26,South,Widget B,2745,27
2024-09-27,South,Widget A,1193,18
2024-09-28,South,Widget A,671,44
2024-09-29,West,Widget A,2714,11
2024-09-30,East,Widget A,4657,23
2024-10-01,North,Widget B,4468,42
2024-10-02,West,Gadget C,4051,17
2024-10-03,West,Gadget C,4922,3
2024-10-04,South,Widget A,4995,13
2024-10-05,West,Widget B,4156,15
2024-10-06,North,Widget A,2274,13
2024-10-07,North,Widget A,1213,9
2024-10-08,East,Gadget C,1212,10
2024-10-09,East,Widget B,4156,1
2024-10-10,North,Gadget C,4008,36
2024-10-11,South,Widget A,917,45
2024-10-12,East,Gadget C,2600,2
2024-10-13,East,Widget A,1003,16
2024-10-14,South,Widget A,3761,43
2024-10-15,North,Gadget C,2366,33
2024-10-16,North,Widget B,895,33
2024-10-17,West,Widget A,1001,43
2024-10-18,South,Widget A,180,30
2024-10-19,West,Widget A,1343,16
2024-10-20,East,Gadget C,1781,11
2024-10-21,East,Widget B,4224,49
2024-10-22,South,Widget A,408,22
2024-10-23,East,Gadget C,2368,4
2024-10-24,East,Gadget C,4483,31
2024-10-25,South,Widget B,1927,3
2024-10-26,North,Widget B,4760,24
2024-10-27,West,Widget A,1665,7
2024-10-28,South,Widget B,4340,24
2024-10-29,West,Widget B,1285,27
2024-10-30,South,Widget A,4976,47
2024-10-31,West,Widget A,1696,46
2024-11-01,West,Widget A,2556,27
2024-11-02,North,Widget B,2162,16
2024-11-03,West,Widget A,1934,16
2024-11-04,West,Gadget C,1100,41
2024-11-05,East,Gadget C,2278,12
2024-11-06,North,Gadget C,4489,3
2024-11-07,North,Widget A,2579,17
2024-11-08,West,Gadget C,1148,37
2024-11-09,South,Widget B,2154,42
2024-11-10,East,Gadget C,2532,14
2024-11-11,South,Widget A,4844,19
2024-11-12,East,Widget B,4675,17
2024-11-13,West,Widget B,4796,24
2024-11-14,South,Gadget C,906,20
2024-11-15,East,Widget A,2483,47
2024-11-16,West,Widget A,3268,14
2024-11-17,South,Widget A,2683,31
2024-11-18,North,Widget B,4701,18
2024-11-19,South,Widget A,4596,21
2024-11-20,North,Widget B,1435,4
2024-11-21,North,Widget A,4632,41
2024-11-22,West,Widget A,517,40
2024-11-23,West,Widget B,3630,30
