date,region,product,sales,units
2024-01-01,West,Widget B,3742,39
2024-01-02,South,Widget B,3325,4
2024-01-03,West,Gadget C,545,15
2024-01-04,East,Widget A,2795,30
2024-01-05,West,Widget B,280,22
2024-01-06,West,Widget A,2145,20
2024-01-07,West,Widget A,4940,28
2024-01-08,West,Gadget C,794,43
2024-01-09,South,Widget B,4268,2
2024-01-10,North,Widget A,104,43
2024-01-11,West,Widget A,3582,12
2024-01-12,North,Widget B,608,39
2024-01-13,South,Widget B,2589,34
2024-01-14,South,Widget B,2576,39
2024-01-15,East,Widget B,512,37
2024-01-16,East,Gadget C,1823,9
2024-01-17,East,Gadget C,1938,36
2024-01-18,East,Gadget C,4516,10
2024-01-19,North,Widget B,2071,15
2024-01-20,East,Widget A,3230,5
2024-01-21,East,Gadget C,1704,48
2024-01-22,West,Widget B,1484,12
2024-01-23,North,Widget A,2872,1
2024-01-24,East,Gadget C,1170,49
2024-01-25,North,Widget B,1078,44
2024-01-26,East,Widget A,3072,28
2024-01-27,East,Widget A,3694,8
2024-01-28,North,Widget A,419,39
2024-01-29,West,Widget B,4626,37
2024-01-30,South,Widget A,3971,36
2024-01-31,East,Widget A,2594,43
2024-02-01,West,Widget B,4920,4
2024-02-02,South,Gadget C,1858,46
2024-02-03,West,Widget B,2017,38
2024-02-04,West,Gadget C,2967,22
2024-02-05,West,Widget A,1529,38
2024-02-06,West,Widget B,4024,7
2024-02-07,North,Widget B,3129,26
2024-02-08,South,Widget A,4913,10
2024-02-09,West,Widget B,1019,23
2024-02-10,North,Widget B,4195,27
2024-02-11,West,Gadget C,1170,42
2024-02-12,North,Widget B,1465,10
2024-02-13,South,Gadget C,996,42
2024-02-14,West,Widget B,4898,45
2024-02-15,South,Widget B,812,28
2024-02-16,North,Gadget C,2317,4
2024-02-17,East,Widget B,2260,4
2024-02-18,South,Widget B,3090,44
2024-02-19,North,Widget B,1097,46
2024-02-20,West,Widget B,2401,47
2024-02-21,West,Widget B,2731,30
2024-02-22,West,Gadget C,3725,26
2024-02-23,North,Widget B,2071,46
2024-02-24,South,Widget A,4766,14
2024-02-25,South,Widget B,2402,7
2024-02-26,East,Widget A,2087,16
2024-02-27,East,Widget A,1867,14
2024-02-28,South,Widget B,3992,19
2024-02-29,East,Widget B,1625,13
2024-03-01,West,Widget A,3593,40
2024-03-02,North,Widget A,2898,15
2024-03-03,East,Widget A,966,4
2024-03-04,South,Gadget C,3234,38
2024-03-05,West,Widget A,4532,48
2024-03-06,North,Widget B,372,46
2024-03-07,East,Widget A,1399,11
2024-03-08,North,Widget B,3572,35
2024-03-09,North,Widget A,2128,25
2024-03-10,South,Widget A,668,40
2024-03-11,North,Widget A,141,37
2024-03-12,West,Gadget C,1261,23
2024-03-13,South,Widget A,603,38
2024-03-14,South,Gadget C,4840,28
2024-03-15,West,Widget B,1732,25
2024-03-16,South,Widget A,3409,26
2024-03-17,South,Widget A,3328,48
2024-03-18,South,Widget A,2536,14
2024-03-19,East,Widget B,279,42
2024-03-20,East,Widget B,4845,28
2024-03-21,West,Widget B,2703,27
2024-03-22,East,Widget A,2567,16
2024-03-23,North,Widget A,165,5
2024-03-24,North,Gadget C,603,27
2024-03-25,West,Widget A,1434,16
2024-03-26,South,Widget B,1441,23
2024-03-27,South,Widget A,2167,8
2024-03-28,North,Widget A,1253,46
2024-03-29,South,Gadget C,3818,31
2024-03-30,North,Gadget C,2350,47
2024-03-31,South,Widget A,1728,22
2024-04-01,North,Widget B,215,47
2024-04-02,North,Widget A,2687,4
2024-04-03,East,Widget B,3879,20
2024-04-04,North,Widget A,1065,36
2024-04-05,North,Widget A,1702,31
2024-04-06,South,Widget B,4469,8
2024-04-07,North,Widget B,1392,25
2024-04-08,South,Widget A,173,33
2024-04-09,North,Widget B,3366,39
2024-04-10,East,Gadget C,2309,17
2024-04-11,West,Widget A,1349,26
2024-04-12,East,Gadget C,3549,40
2024-04-13,East,Gadget C,3826,4
2024-04-14,South,Widget B,4354,13
2024-04-15,West,Widget B,964,18
2024-04-16,South,Widget B,268,26
2024-04-17,South,Widget A,3118,26
2024-04-18,North,Widget A,196,15
2024-04-19,North,Widget B,4096,33
2024-04-20,East,Gadget C,4917,47
2024-04-21,South,Widget B,4532,10
2024-04-22,North,Widget B,965,32
2024-04-23,South,Gadget C,4853,25
2024-04-24,East,Gadget C,713,22
2024-04-25,South,Widget A,1708,19
2024-04-26,East,Widget B,3373,44
2024-04-27,East,Widget A,3987,24
2024-04-28,North,Gadget C,1280,46
2024-04-29,North,Widget B,3368,10
2024-04-30,East,Gadget C,4919,16
2024-05-01,West,Widget A,637,37
2024-05-02,West,Gadget C,4706,28
2024-05-03,East,Widget B,4308,21
2024-05-04,South,Widget B,149,23
2024-05-05,North,Gadget C,1974,16
2024-05-06,South,Widget B,2563,36
2024-05-07,East,Widget A,3855,45
2024-05-08,South,Gadget C,4336,49
2024-05-09,South,Widget A,4537,15
2024-05-10,South,Widget B,3478,36
2024-05-11,North,Gadget C,3394,39
2024-05-12,West,Widget A,3209,39
2024-05-13,North,Widget B,4575,43
2024-05-14,North,Widget B,2785,12
2024-05-15,North,Widget B,4602,26
2024-05-16,South,Widget B,1278,30
2024-05-17,North,Widget B,1201,2
2024-05-18,East,Widget A,1915,48
2024-05-19,South,Gadget C,4910,29
2024-05-20,East,Gadget C,1549,14
2024-05-21,West,Widget B,2023,30
2024-05-22,North,Widget A,3020,15
2024-05-23,West,Widget B,4852,41
2024-05-24,North,Gadget C,1250,30
2024-05-25,East,Gadget C,2557,12
2024-05-26,West,Gadget C,644,2
2024-05-27,West,Widget B,524,39
2024-05-28,East,Widget A,3168,7
2024-05-29,West,Widget A,4371,33
2024-05-30,East,Gadget C,4058,25
2024-05-31,South,Widget A,776,6
2024-06-01,North,Widget B,3301,14
2024-06-02,East,Widget A,2817,27
2024-06-03,North,Widget A,1363,6
2024-06-04,South,Gadget C,3853,49
2024-06-05,West,Widget A,668,43
2024-06-06,West,Widget A,2603,47
2024-06-07,West,Gadget C,929,27
2024-06-08,East,Widget B,1348,39
2024-06-09,East,Widget B,2040,46
2024-06-10,South,Gadget C,520,13
2024-06-11,East,Widget A,3801,42
2024-06-12,East,Widget B,1609,18
2024-06-13,North,Widget A,4888,5
2024-06-14,South,Widget B,2694,29
2024-06-15,South,Widget B,4548,17
2024-06-16,West,Widget A,563,15
2024-06-17,North,Widget B,2762,12
2024-06-18,West,Widget B,3888,11
2024-06-19,East,Widget A,214,39
2024-06-20,West,Widget A,2675,45
2024-06-21,South,Widget A,3120,21
2024-06-22,West,Widget A,3842,29
2024-06-23,West,Widget B,285,5
2024-06-24,South,Widget B,830,13
2024-06-25,West,Widget B,2874,31
2024-06-26,North,Widget A,1087,28
2024-06-27,North,Gadget C,3664,13
2024-06-28,South,Widget B,1999,12
2024-06-29,East,Widget A,849,18
2024-06-30,North,Widget B,2993,37
2024-07-01,North,Gadget C,4529,47
2024-07-02,South,Widget B,2433,40
2024-07-03,North,Widget B,4071,11
2024-07-04,West,Gadget C,2492,17
2024-07-05,South,Widget A,1691,15
2024-07-06,West,Gadget C,2870,41
2024-07-07,East,Widget B,3762,13
2024-07-08,North,Widget B,4730,35
2024-07-09,East,Widget B,4653,41
2024-07-10,South,Widget A,2696,26
2024-07-11,North,Widget A,1641,21
2024-07-12,South,Widget A,930,16
2024-07-13,North,Widget A,1560,20
2024-07-14,North,Gadget C,4749,42
2024-07-15,South,Gadget C,3255,42
2024-07-16,North,Gadget C,312,22
2024-07-17,South,Widget B,959,36
2024-07-18,North,Widget A,2755,24
2024-07-19,East,Gadget C,1050,16
2024-07-20,West,Gadget C,1856,44
2024-07-21,East,Gadget C,276,13
2024-07-22,North,Widget A,1932,22
2024-07-23,East,Widget A,4547,24
2024-07-24,North,Widget A,3397,8
2024-07-25,North,Widget B,357,2
2024-07-26,South,Widget A,3312,39
2024-07-27,West,Gadget C,195,22
2024-07-28,South,Widget B,4681,7
2024-07-29,East,Widget A,4838,40
2024-07-30,North,Gadget C,3518,24
2024-07-31,North,Gadget C,1011,43
2024-08-01,North,Widget A,3305,10
2024-08-02,West,Widget B,1420,18
2024-08-03,North,Widget B,4825,20
2024-08-04,South,Gadget C,3791,33
2024-08-05,North,Gadget C,4262,37
2024-08-06,East,Widget B,2241,42
2024-08-07,East,Widget B,3562,2
2024-08-08,West,Widget A,4617,43
2024-08-09,North,Widget A,1993,36
2024-08-10,East,Gadget C,2493,24
2024-08-11,South,Widget B,1387,16
2024-08-12,West,Widget B,1445,43
2024-08-13,South,Gadget C,3397,27
2024-08-14,North,Gadget C,2868,42
2024-08-15,South,Gadget C,4524,9
2024-08-16,West,Gadget C,1865,24
2024-08-17,North,Widget B,4194,24
2024-08-18,North,Widget A,3630,31
2024-08-19,South,Widget A,2431,41
2024-08-20,North,Gadget C,4669,17
2024-08-21,North,Widget A,2858,23
2024-08-22,South,Gadget C,1341,22
2024-08-23,South,Widget B,1396,42
2024-08-24,North,Widget B,942,21
2024-08-25,South,Widget B,3955,41
2024-08-26,East,Gadget C,3501,26
2024-08-27,East,Widget A,519,20
2024-08-28,South,Gadget C,372,33
2024-08-29,South,Widget A,823,11
2024-08-30,South,Gadget C,4047,11
2024-08-31,North,Widget A,2882,49
2024-09-01,North,Widget A,4461,18
2024-09-02,East,Gadget C,1423,9
2024-09-03,North,Widget A,204,43
2024-09-04,West,Widget B,4755,29
2024-09-05,East,Widget A,4542,18
2024-09-06,South,Gadget C,4781,38
2024-09-07,West,Widget A,698,48
2024-09-08,South,Widget A,4676,20
2024-09-09,North,Widget B,1321,46
2024-09-10,West,Widget B,4958,47
2024-09-11,West,Gadget C,1090,43
2024-09-12,West,Widget A,2193,15
2024-09-13,West,Widget A,4402,45
2024-09-14,East,Widget A,1855,5
2024-09-15,North,Gadget C,2898,41
2024-09-16,North,Widget A,989,9
2024-09-17,West,Widget A,4022,13
2024-09-18,North,Widget B,3376,18
2024-09-19,North,Widget B,2199,43
2024-09-20,West,Widget B,1644,42
2024-09-21,East,Widget B,3278,35
2024-09-22,North,Widget B,985,43
2024-09-23,North,Widget A,3816,37
2024-09-24,East,Gadget C,4339,4
2024-09-25,East,Widget A,1541,48
2024-09-26,East,Gadget C,2873,19
2024-09-27,North,Widget A,457,47
2024-09-28,South,Widget B,3457,4
2024-09-29,South,Widget A,520,30
2024-09-30,East,Widget B,2253,32
2024-10-01,West,Widget A,3865,21
2024-10-02,North,Widget B,4368,8
2024-10-03,South,Gadget C,1962,40
2024-10-04,West,Widget A,4272,8
2024-10-05,North,Gadget C,3732,7
2024-10-06,East,Gadget C,3939,31
2024-10-07,East,Widget A,2999,10
2024-10-08,South,Widget A,2027,42
2024-10-09,South,Gadget C,2257,27
2024-10-10,North,Widget B,2961,42
2024-10-11,North,Gadget C,4490,23
2024-10-12,West,Widget B,2459,39
2024-10-13,South,Gadget C,2934,16
2024-10-14,North,Widget B,4679,21
2024-10-15,East,Widget A,4822,5
2024-10-16,North,Gadget C,1078,1
2024-10-17,East,Widget B,3220,13
2024-10-18,South,Widget A,1552,31
2024-10-19,West,Widget B,2661,46
2024-10-20,North,Gadget C,584,13
2024-10-21,East,Widget A,3502,46
2024-10-22,West,Widget A,2051,47
2024-10-23,West,Gadget C,970,13
2024-10-24,East,Widget B,1033,18
2024-10-25,South,Widget B,4841,21
2024-10-26,North,Widget A,278,14
2024-10-27,West,Widget A,1143,1
2024-10-28,South,Widget A,3289,36
2024-10-29,North,Widget B,3739,15
2024-10-30,South,Widget A,702,1
2024-10-31,South,Widget B,879,22
2024-11-01,East,Widget B,2613,35
2024-11-02,East,Widget B,1498,40
2024-11-03,East,Gadget C,3279,35
2024-11-04,North,Widget B,2388,14
2024-11-05,North,Widget A,3534,25
2024-11-06,East,Widget A,2134,11
2024-11-07,East,Widget B,4287,49
2024-11-08,West,Gadget C,3631,3
2024-11-09,West,Gadget C,3135,38
2024-11-10,South,Widget B,4977,8
2024-11-11,South,Gadget C,1414,3
2024-11-12,East,Widget B,1931,20
2024-11-13,West,Gadget C,127,2
2024-11-14,West,Gadget C,3925,40
2024-11-15,West,Widget B,1946,7
2024-11-16,South,Widget B,1392,49
2024-11-17,North,Gadget C,1005,29
2024-11-18,West,Gadget C,4990,37
2024-11-19,West,Widget B,1233,1
2024-11-20,East,Widget B,2970,5
2024-11-21,South,Widget A,2130,47
2024-11-22,South,Widget A,2309,25
2024-11-23,South,Widget B,3575,33
2024-11-24,South,Gadget C,1181,40
2024-11-25,North,Widget A,343,45
2024-11-26,South,Widget A,3538,17
2024-11-27,South,Widget A,1493,38
2024-11-28,North,Gadget C,2006,44
2024-11-29,North,Widget B,3969,16
2024-11-30,South,Widget A,4502,34
2024-12-01,North,Widget B,3469,40
2024-12-02,East,Widget B,1490,45
2024-12-03,East,Widget B,3334,34
2024-12-04,North,Widget A,2395,7
2024-12-05,East,Widget A,2383,7
2024-12-06,North,Widget A,2920,3
2024-12-07,South,Widget B,1508,14
2024-12-08,North,Widget A,444,30
2024-12-09,South,Gadget C,3456,9
2024-12-10,South,Widget B,2257,40
2024-12-11,North,Widget A,3250,8
2024-12-12,West,Gadget C,1627,42
2024-12-13,East,Widget B,3327,36
2024-12-14,East,Widget B,584,30
2024-12-15,East,Widget B,2107,19
2024-12-16,South,Widget B,923,32
2024-12-17,East,Widget A,1455,26
2024-12-18,North,Widget A,140,15
2024-12-19,East,Widget A,2901,35
2024-12-20,West,Widget A,2619,14
2024-12-21,East,Widget A,216,16
2024-12-22,West,Gadget C,2254,13
2024-12-23,East,Widget A,3969,47
2024-12-24,North,Widget B,856,40
2024-12-25,North,Widget B,1594,45
2024-12-26,North,Gadget C,1983,40
2024-12-27,South,Gadget C,1343,3
2024-12-28,South,Widget B,3790,41
2024-12-29,West,Widget A,1361,3
2024-12-30,North,Gadget C,3204,40
2024-12-31,North,Widget A,2663,34
